,reviews
5420,"
I actually bought this earphone on the 27th August 2020! Talking about sound, noice cancellation and bass quality it is a superb quality for this price point. Howver there is always downsides, now it's 28th September 2020 after one month it suddenly stopped working so I had to hold the Jack connection to get the sound. I'm pretty disappointed with its durability and liftime, else I would give 5 stars. Since it doesn't even last for two months I give 2 stars!
"
5421,"
I Got this for 349 During Prime Day sale, I believe in the Boat company.i alredy uses Boat wireless Earphones and I thought to try for worked one.i love it .it fits in ear ,it feels like piece of paper.Sounds is pretty decent,Bass is good. Wire looks very attractive
"
5422,"
I would suggest everyone to check out the Driver size they use in earphones and this is only for Music Enthusiasts. If you are a normal person and use headphones only for your calls and not a Bass lover you can go for this. This earphones comes with 3D audio technology which will make you feel the worth of the cost you spend.
"
5423,"
Previously I was not a BOULT user but after I purchased it I am in love with them. I thought they would be a normal earphones which also come free when we purchase a smartphone. But these are much and much better from the normal earphones. Also its speciality is that the curved thing which is made up of rubber at the tip is very useful. Because of it the earphones fit perfectly in my ears. Thank you BOULT AUDIO for providing such a nice product for such a low price. So don't even think for a second and just buy it
"
5424,"
Bought this earphone in August this year.. I used it normally for listening to music for few days.. It was only two weeks past, the earphone started giving a noise disturbance.. Then the microphone also started noise disturbance in audio.. I can't talk to someone, I can't play games.. Because my sound is never clear in anything.. I am very disappointed with this product.. It has 1 year warranty but it's not worked properly for even a month.. I hope amazon will sort this problem out for me..
"
5425,"
Budget headsets... U may not get a sturdy packet like those budget redmees or other... But u will get the best in these price range... Sound quality is topnotch but the mic is average,  we have to talk very close to the receiver to be legible outside. Iam a happy user.🙂
"
5426,"
Nice quality compare to other products available in market at price of 298/-. Received in time but delivery person was irritating.Bass output is excellent whereas noise cancellation is concerned provide satisfaction.Go ahead and book your order.
"
5427,"
Great headphones at this price range. Sound quality is really nice. Comfortable for the ears. Option of buds size is great deal at this price. Bass is on the low side which I personally like. The design is great and dual tone color if the piece is eye catching. Why spending more money if you can get good quality at around 300Rs.
"
5428,"




                    The media could not be loaded.
                



 I was facing hard time choosing the best earphones under 500 untill now, I was confused with -this, mi earphones (with ultra-deep) and baot basshead 100. So I purchased all.Reviews for each given in their respective comments.However by far on the first hour of purchase I would suggest to buy Boult since it comes with 1 year warrenty. morever they are amazing with bass for watching movies and for music lovers
"
5429,"
These boult bassheads are an absolute steal for this price.I mainly purchased it for the mic and music,as it's closer unlike many other earphones and it's fulfilled it's purpose.They have a sporty look and a plastic build.The audio quality is outstanding ,and this is by far the best earphones I've had till now.The bass is well.They're great for my workouts and sweatproof.Call quality is great and I've had no complains so far.Overall very satisfied with my purchase.Its sporty look might not be for everyone but performance wise it's great.
"
5430,"
As to how this product works, it does what it says quite well. I cannot speak for its reliability because I'm only a few days into it's use. I've seen reviews where people have said they've received fake product and they seem to have pictures to prove it. I have received what I believe the genuine article.That said, the QR code on the warranty card doesn't work, but you can register the product on their website manually, after which what I believe to be the customer-care have followed up on it after the initial registration of said warranty.
"
5431,"
Sound Quality is awesome..Bass is also Great not too much and not too low a prefect Bass and Vocals also sharp and clear overall these are Good Earphones at this price...but there is a problem in microphone...it's not working properly..it's button also not working..I can't use these earphones for calling that's why I m giving 4 Star...So for call function these are not the good option...But for sound quality just go for it
"
5432,"
Owner of ""Sony mdr XB650BT"", bought for extra when bt headset drains out. built quality not that great, no tangle free wire, no volume up-down buttons, no punchy bass, no gold plated 3.5mm jack, vocals not clear, having metal housing. Previously used JBL c100si. If you are music lover and wants low budget earphones always go with well known brands like JBL, sennheiser and other with adding extra 200 to 300 bucks.
"
5433,"
The bass is just way too much for a good listening experience, seems like all they cared was about improving the bass quality undermining everything else.
"
5434,"
Simply superb....just got the product... i would want to thank amazon for delivering my order before 2days though there is lockdown.Now what about the main thing....x1I just want to clear one thing that its not the product of price 1500/2000 so don't expect more from it...but the sound it gives ...is just ossome .So at the price we purchase it ....x1 totally justify it.Good and balance sound. Bass is loud and mind blowing, thoug sound is not too loud.Got for it .... without any doubt.
"
5435,"
Awesome headphones i have used so far.....extremely crisp sound with a peefect amout of bass...tiny woofers works wonder.Build quality very strong..Great headphones in this price range better than some of the big brands
"
5436,"
Not user friendly. Cable gets annoying and is difficult to use while walking. They should at least provide a clip to ensure it stays in place. Button is almost useless as it doesn't work while playing or changing songs, or receiving/ending calls. Regret buying this, and cannot return it. They only have an exchange policy, and I got the same almost useless product on exchange. Unhappy
"
5437,"
Most important thing - the buud quality is superb in this price range , mujhse 50 bar iski wire khich gyi par ye fir bhi kam karti thi I was happy with my earphone sab kuchh achha chal rha tha but par one fine day jab me college ko ka rahi thi mujhe gane suune the and then suddenly I realised earphone maire pocket se gir gaye kahin, Esha dusre bar huwa hai ki maine apni nayi nayi earphone kho diye raste me  ..thank you ✨
"
5438,"
Very nice product, completely satisfies its priceGot this for 449/- but now it's price has been reduced to 349/- so grab this offer as soon as possible before it endsThings I liked about this product is mentioned below:-1. Very good and controlled bass, gives premium output. You can use it for even 4-5 continuus hours.2. Cord quality is also very good and premium ( Red colour gives premium feel)3. Treble is good too gives a feel of surround sound4. Mic quality is also good but can be improved5. Extra 2 pair of earbuds are also very useful incase you lose one of the earbuds that came fitted with the product
"
5439,"
The product in general is good. Sound quality is great, comfortable to wear. However there seem to be an issue with the mic. I am not able to use it during meetings are there is a constant static noise. Hence only 3 stars.Although, I am not sure if this defect is in my product alone. Anyways now it serves my purpose of listening to music.
"
5440,"
Good quality earphones for the price. The bass is nice and adds a little extra to the songs you are listening to, if you are into rock. Bollywood songs sometimes seem too bass-y and not in a good way. At full volume, there is some cracking and the sound is tinny but it’s ok for most songs and you can’t really expect more from a product priced in the value range. Overall I would purchase the product again, especially since I lose earphones often and the combination of sound quality, wearing comfort and price make this a good buy.P.S. came to know of X2 after I had ordered these so maybe next time will try those
"
5441,"
Ok types headphonesBut on this price what we expectSi my opinion is if we use this for indoor activities it's good but if use this in cycling activity it's not upto the markSound quality is goodBuilt quality is goodBattery backup is good
"
5442,"
I don't know I have used multiple X1 as I am a very rough user but still I cannot figure out how the new to a phone that I bought from the same link as this one turned out to be a very bad product it is for sure a fake product or the quality has came down drastically since the first release of X1. The microphone is absolutely dead it does not even catch a loud thumping sound in almost no noise I does not at all working.
"
5443,"
After i purchased this earphones at very first the impression of this Earphones was out standing i loved it but 4-5 days later i got some issues from the bass of this earphones the bass was just annoying i don't know why this happend but i didn't liked its bass it was hurting my ear so i returned it... I might be faulty product because my friend also have the same earphones and that are working still very good till now so i have decided to buy some other boult audio product and then i purchased Boult Oak audio nd they are Working well so This was my experience with this earphones😃
"
5444,"
The sound Quality and the bass is immense but the fact it that the package I received was not the original one...Simple to get to know about it1.The box should be named as BOULT SPACE not BOULT AUDIO2. The original earphones have the rubber splitter/ adjuster but the picture which I put does not haveFrankly, I ordered the same thing on Flipkart for the same price and I got the original one
"
5445,"
I have been using this headphone for the last two months. Best for gamingPros:1. Best bass experience2. Best noise cancellation3. Best cable strengthCons:1. No volume changing buttons2. Big metal earbud hurting ears while using it for long time
"
5446,"
great earphones...till now i tried senheiser, jbl, sony, boat, panasonic most of the best brands around. after my last jbl c50hi these boult x1 are truly gems. bass, treble, vocal everything sounds perfectly well balanced. worth every penny for 298 INR
"
5447,"
I was surprised by the build quality of these earphones. The connector jack is perfect - resilient to issues because of the way it has been designed. The audio is clear - well balanced bass and treble. The mic is reasonable for the budget.
"
5448,"
Satisfied with the quality for the price.like the dual tone cable.fits comfortably.audio quality over call is good.comes with extra silicone earpiece to have a matching fit.Update: 5 months passed and now the mic does not work properly.voice over mic dropped by 70%👎🏼
"
5449,"
Mic does not work.Headphones work only in my laptop. It does not work in our Huawei honor and Motorola phones
"
5450,"
This neckband gives an immersive surrounding sound quality.It provide hd sound which you can use to hear continuously without any issues.it has three button middle one is power on off and pause play and for receiving call .While other two are for sound up or low.it has also a led light .
"
5451,"
I was already impressed by others review, they make me happy to buy this product.This is such good looking earphone with great features and highlights such as you can get Deep Bass, Micro woofers, function Button. It has also slightly L shaped 3.5mm connector jack which feels absolutely good while Playing games, watching movies. You can put this Earphone in your ear  upto 2-3 Hrs after that you will be getting some pain as I get.At last Boult Audio is also good in their field, they also thinks about their Customers.
"
5452,"
One year ago i ordered similar products which was amazing in quality and performance and two months before it stop working so i decided to buy the same exact product again because of it's quality and value for money..... Surprisingly the product design is completely changed and new product is no where near to the old one.. The mic position is changed to spliters and it is annoying mic sucks.... After one month of use the product stop working so decide to write a review which is helpful to others who might look for the product the good reviews are based on old products new batch of product is utter waste
"
5453,"
Sound is crisp and clear with nice bass. It's a bang for the buck. But the button is very hard to click sometimes that it it doesn't take any commands. After few months, the mic isn't working. And it is a long process to claim the warranty.
"
5454,"
Earphone are average.. sound quality is good bt ears start hurting within half hr of usage which is a big draw back.. and also doesn't fits well on ears.. better go for boat..
"
5455,"
The first hand experience of using this product for few days is great. The sound quality is good. The bass and treble is decent given the price. I use this for my daily office work and meetings. The mic also performs well.They earbuds are more on a stiffer side but can be used for few hours without any pain.No major issues found till now.Compared to jbl priced at apprx 600/- this boult product gives a better deal at less price.Also this easily replaces the Mi earphones at this price point.Packaging amd delivery was fine.
"
5456,"
Build quality is good.. Good sound quality in good price -  This is my Genuine reviewSomebody is calling the customer and asking to give a good rating to the product and send the screenshot and we will get 100\- credited to our Paytm Account.THIS IS FAKE.  this is just to get good rating to their products.
"
5457,"
Generally i never write reviews, but buying this got me to write one because I don't want anyone else to fall for the cheap price and compromise on all aspects of a earphone.The sound is okayish, no bass no treble. The Mic does not work untill you hold it near your mouth. I would advice you not to buy these earphones and go for Ambrane Stringz 38 in the same price range.
"
5458,"
absolutely what I wanted. awesome bass and much much more than what I payed for. I would definitely stock a few more . Thanks a lot amazon. You always bring me the best. I wish i had a few crores. i would buy your entire store. :) :)
"
5459,"
Absolutely terrible product. The mic does not work at all in this model. And on top of that everytime we want to connect the earphoes with our phone, we have to use the button. That Is so astonishing that Boult have managed to screw up the product so bad that the basic things in this does not work at all. So nobody would give a blink if the earphones have the best bas in the work. would not recommend this company products to anyone.
"
5460,"
For a 349 rs product I can clearly say these :-Packaging:-4/5Sound quality:-5/5Build quality:-4/5Audio jack:- 5/5Bass quality:-5/5(it's too strong)Mic:-4/5Button on wire for controls:- 4/5Completely recommended from my side for an under 500 rs earphone
"
5461,"
It has a smooth metallic finish with ear loop along with various earbuds which offers a perfect fit to every ear. It can be used in various activities like gym, cycling as its water resistant. Built in microphone which also offers Google assistant/siri.Sounds are crisp, bass is good. Acoustics are clear. Overall a good earphone in this price range.
"
5462,"
I would like to say it is all in one product.It has boat 225's bass effect even not heavy as it,It has mi's noice cancellation even more hot look than it,If you estimate it price by feature then it should be 699/- approxAnd 1 year warranty who give in 299 bucks product
"
5463,"
I am loving these earphones. Purchased as a temporary replacement for my Headphones but now I prefer using these. As claimed by Boult the 10mm Driver Bass is really great. At higher volumes, we can find some distortion in audio. But this is expected at the price and also you are not using these at much higher volumes, so it doesn't matter. Overall Experience is very good. The hooks (or whatever it is called) make these stay in your ears during workout sessions. Also, I would prefer blue color ones over black or grey😉.
"
5464,"
Not recommended to buy. During the call the sound quality is not good but if you like only music to listen you can buy it. No return option is available after buy you can only replace it. Mic button is on left which is very difficult to press the switch.
"
5465,"
Does what it says on the box..... Great sound - does get a wee bit tinny when played at full but overall, great sounding.  Overall, the experience with the vendor was extremely pleasant.  Thank you.
"
5466,"
While I thought nobody can beat Samsung EH64 in terms of sound quality!! But this earpiece certainly is matching the quality!! Crisp and clear sound... Perfect fitting and a beautiful bass which just enhances the experience!!! Go for it if you truly love music and bass!!
"
5467,"
Overall an amazing buy. Top pros and cons after a  month's usage.Pros:1. Great sound quality2. Clear audio - vocals3. Sturdy built4. Good mic quality (calling is seamless)Cons:The only con is that Bass is a little low (Not very low but for ones looking for high bass, better drop this one. Great for regular use).
"
5468,"
I would suggest you to go for a better alternative brand since my left ear stings when I place earbuds. When I replaced it with extra earbud that was provided with the package, it was alright. However, products are not perfect when you buy with Amazon. Some or the other problem persists, always. As compared to JBL or seinheiser, sound quality lacks a sense of pure flow if you know what I mean. Just like breathing fresh air, it lacks classy and superior sound quality that JBL or seinheiser provides. I have used both in the past. It's just alright but not that fantastic.
"
5469,"
Used this ear piece upto 4 months - after then right ear piece dint work - if we have to use warranty for the defect we need to self pay 100 for courier - I decided to buy a better product...
"
5470,"
Boult bassbuds X1 is a perfect choice if you're looking for a good quality audio with great bass at a low price. These earphones are pocket friendly. The ergonomic design fits in your ear and doesn't let you worry about them coming out. The build quality is nice and the cable quality is also good. I had a doubt whether the product could meet its specifications at the price at which it is available but it's beyond good. The sound quality is immersive, the bass quality is good, the noice cancellation is great. Best choice for the people who need to listen to music while they work. Go for it.
"
5471,"
Honestly I think the earphones is okay.But the microphone stopped working after a month and I cannot return it now.The audio quality is okay. There are better earphones out there in the same price point.The bass is good. And the noise cancellation is okay.
"
5472,"
Sound quality and features of this product are good at this price. Reasonable price. Most of the headphones connecting pin gets damaged after several use, So not worth spending too much on expensive headphones. Just go for reasonable price headphones.
"
5473,"
Sound Quality :-  7/10Bass :- 8/10Noise Cancellation :- 8/10Built Quality :- 9/10Pros :-1. Angled 3.5mm  Jack which is not easily damaged.2. Sound quality is decent3. Wire is tangled freeCons :-1. Accessories r missing i got with one earbud missing in box.2. Ear hook r differnt size ( in one pair one hook is big nd one hook ia small in size no pair is complete...wtf is this boult??? )
"
5474,"
This model earphone is Awesome!however the color Grey is defective the 3.5 mm jack has some issues which resulting headset doesn't work properly either audio or mic issues, tried multiple phones to check and it's confirmed manufacturing defects on grey earphone model.I did exchange the Grey earphone but again Same issues in new piece aswell.
"
5475,"
I have used many earphones in the past, but nothing beats the quality of Boult Audio Bass Buds. It simply fits well, sounds good and is sturdy. I used it mostly for my long runs, and find it pretty much comfortable. I would recommend this product for anyone who wants to buy a wired earphone.
"
5476,"
Sound quality is good but build quality is worst 😢...*Wire is too this and easily cuts.👎*Button needs very much pressure to press it. It is not comfortable infant it is hard.👎*Noise cancellation is also good.👍*Fitting in ear also nice.👍*Sound is clear and not so screaming type.👍*3.5 mm Jack doesn't fit in it's jack, many times it removed automatically..👎
"
5477,"
The earphones are pretty good in design and colour but the extra part would hurt my ears if I use it for a long so I just didn't liked it , since it was removable I removed it and apart from that it's cool and when I play games I should bring the Mike close when I'm talking or else team mates won't hear and this doesn't happen when I'm on a call . Idk what exactly is the problem.
"
5478,"
I was happy to hear the sound quality in my laptop but the same earphones is not working in my latest Android phone. Very much disappointed. Is boult earphones are not compatible with Android phone?
"
5479,"
I'm giving this review after using one month.Pro's :Light weight,  tangle free,  good bass,  mic quality is superb, ample length,  smart and sexy design,  good control, sweat proof, ear buds design dont make slip of earphone, eventhough you are in rush or in sleep.Con's :Mic shall be little closer as the length of wire is bit longer that whenever need to use mic,  we always have to hold near mouth even during meetings.Can't able to use more than 30 mins,  as ears starts paining.  That part shall be improved.
"
5480,"
So I have been writing this review after using the product for almost 3 months and it's still sound crisp as it use to sound on day one, the build quality is excellent too as it survived my regular wear and tear. I have used some other products before this and they don't work this long but with Boult X1 I have to say it's worth every penny. I usually used it for calls and music purpose only can't say anything about gaming.To sum it up go for it if you are tired buying earphone every month and want something that have good sound go for it.
"
5481,"
Pros*Audio quality is very impressive for the price (got for 399)*durability looks good as fewer weak points*good microphone quality*comfortable and good fit, doesn't come out while running, three sizes of ear buds and silicone 'hooks'Cons:*not braided*short cable*no volume controlWill update later if I find more.
"
5482,"
Good sound quality earphones with high extra bass.It has really a good battery backup with fast charging feature.Best thing of this is its silicon neckband wich is really comfortable and flexible.
"
5483,"
Earphones are good, the sound is clear and looking at the price range, can't complain. The bass is nice and got a thump in it. If you are looking a budget earphones, these are the ones. Before this I used mi basics that were awesome but this is also a good choice. Didn't find h huge difference between both but this look quite awesome. I must mention about the fitting, it is good but the rubber fings are little hard that may be itchy at times rest all is good.
"
5484,"
The earphone sound quality is very good & awesome but replacing it twice also i haven't got the mic working so i request please as soon as you'll get the earphone just get it checked properly not just the mic but every stuff
"
5485,"
After a lot of research online and seeing the reviews went ahead with this pair of hearphones. But these hearphones are very disappointing. The sound quality is average. Should have gone for boat or realme.Sometimes we think too much for 100-200 rupees and compromise on quality. This hearphones will keep reminding me this for next 6 months for sure.
"
5486,"
I am giving this review after 9 months of use. It says 1 year warranty, but one aspect of the earphone has gone bad before 1 year. Very disappointed . I will not sujjest you for buying this.has a warrenty of 1 year. I want this product to be replaced as soon as possible. I need headphones badly. Such a bad experience with amazon as i have not done any major shopping yet on amazon. Just want this product to be replaced man.
"
5487,"
Just got it under 300 rs ,at that point it's a great deal.The sound quality is good and the bass .But things really changed after 3 months .iam having connection issues ,facing issues with the microphone,can hear it but when you are in a call you can't reply it .but if it gets connected you can watch movies ,listen music ,but the microphone sucks .I think boat would be better
"
5488,"
Received on time. Good packing. With  3 pairs of earbuds and supporting fins, you can find your fit. NC and bass is good, but not great. I can't expect more for Rs. 299.00. The build quality seems good. I use it for daily odds stuff like: taking calls, listening to audio on phone, music and while watching videos on youtube. If you are looking for special music experience, go for a more expensive and better branch.
"
5489,"
Overall the quality of earphones is excellent given the price range.I have tried other companies' productof similar price range but this has been the best.The quality of sound is clear and it doesn't distrort the sound even at higher volumes and high bass songs.
"
5490,"
This earphones are best in this price point.Sound quality is just so good in lows mids highs also. The passive noice cancellation is very good according to price. And the main thing that l like are its looks and comfort. These are the most comfortable earphones under 500. Believe me l have used about 7 pairs of earphones under 600 rs. These are at place 2. Just because the 1st place once are about 599 rs. But these are the best if you are finding a good earphones 🎧. The best part is the experience with Boult. Just go for it under349rs.
"
5491,"
Sound quality to hear is not that much clear. Vocal sounds are slow on every mobile.bass is very good. For some mobiles bass is very high and for some mobiles ok. Feels uncomfortable in hearing. While using earphones everything should be smooth. In this eraphones we will feel uncomfortable in hearing music.for Calls ok
"
5492,"
Product works as expected fits snug, and the quality is as expected, boult audio provides the expected quality with great sound experience. A+ product. The additional attachment makes it wearable to different size of ears. Comes in a sealed package.
"
5493,"
The product is not great with a wow factor  but is good for this price ranbe
"
5494,"
Lately, I was using Sony's XB 550 AP headphones, which are too good in each and every aspects. But, the thing is that they are big heads so i was looking for earphones. When i got this product and I compared it with my heads, my heads are far ahead in terms of sound quality, bass, clarity and all... But keeping in mind that they are ₹3200 headphones and this one are just ₹350, this earphones are too good. Though they are little uncomfortable, but that's not a big deal. This earphones are a good deal for ₹350.
"
5495,"
Built quality is superb. Better than anything out there. But unfortunately the sound is not that good. Neodymium drivers normally give out a very clear sound, however this driver fail to give that and as they are not dynamic drivers they don't give you good bass.
"
5496,"
A real value for money product.Sound quality- 9/10Bass- 9/10Treble- 9/10Clarity- 9/10Build quality- 8/10Noise cancellation is amazing whis is unbelievable and bass quality is also good anough. At this price range believe me I never got any product as compare to this Bault Audio.
"
5497,"
Sound quality is good, bass is normal won't hit your ear, but built quality is average within 3 months use some part below earbud got removed, mic is also not working after 3 months, better recommend boat 350-399 rs one earphones compare to this and when asked for warranty claim they ask to courier delhi so no use of warranty
"
5498,"
Very good product at very decent price ..  good voice quality.. very clear voice but loud .. decent bass .. I received 3 sizes for buds .. definitely very good in noise cancellation ... Only thing I dont like is it is bit heavy for ears and built quality is ok .. you can not rough use it ... Other wise worth for that price ...Yes.. U can go for it ..
"
5499,"
I had bought this for taking office calls on laptop. Overall product is good and sound is good. The build quality is very good with non strangle wires. Bass should have been better. Noise cancellation is ok. Overall if you are using it for calls it's good.
"
5500,"
Been using this product since more than an year and it has been great. I have been using it rough. Just a few days back, 1 of the earpiece have dropped the quality of sound output.Good sound isolation.Highly recommended for ones who like in ear earphone.
"
5501,"
Definitely the earphones I was looking for.It’s got amazing sound, comes with powerful bass.Buds are comfortably fitting, doesn’t come out easily, noise cancellation is really useful feature of this one.Value for money definitely worth buying.Go for it!
"
5502,"
Pros- 1. Comes with loud and clear sound 2. The ear fit is GOOD 3. Build quality is awsome 4. The shape of 3.5mm jack doesn't interupts while gamingCons-1. These earphones don't have taht much  bass(CONCLUSION- If you are a music lover it's not for you,it's for normal use and I will highly recommended these earphones to gamers)
"
5503,"
For one month it was an absolute pleasure to use these earphones but after a month without any damage left side of earphones stopped working.Requested for replacement but still haven't got any update on that.Sound is good bass is good but no durability.Overall not value for money as it does not have any durability.
"
5504,"
Horrible ear phones, sound quality is extremely poor. No volume control button on the earphone. Avoid even if available at 99 Rs. No clear difference between Bass and Treble.
"
5505,"
I have been using this since I received the package. The price was high when I bought it, than it is now.Pros:-It looks good, very cool look.-Ergonomic design.-For the first few days, it worked good, balanced audio output.-Outstanding Bass[Bass lovers will love it].-Used during workout sessions without any problem.-Extra ear cushions of different sizes are given along with the earphone.-Unique angled 3.5mm jack for better connectivity, its not straight, or 'L' shaped but bent very nicely, hopefully it'll help it last
"
5506,"
Pros1. The sound quality awesome at these price, which I had seen normally above 3-4k priced earphones2. Even the small sounds which go on backside can be listened easily, usually in YouTube videos ( sometimes it might irritate you but sometimes it will be good especially when you listen musicCons1. The built quality is above average but it will justify at these price2. Folding of the wire is the common issueThe review is based on 3 months of rough usage
"
5507,"
these earphones are amazing ❤️. i love them. i have been using them about 1 year and they are still working fine.mike stopped working earlier but it was because i didn't took good care of them.but if you take good care of them they will work great for more than 1 year .best product at this rate.👍👍♥️♥️💜💜
"
5508,"
VERY  VERY  POOR  QUALITY PRODUCT.  MY REQUEST  TO ALL NOT TO GO FOR THIS ONE.  I  WROTE COMPLAIN  TO THE BOLT CO  &  THE  AMAZON  FOR THE RETURN.....😭😭😭😭  REGRET  TO MENTION......TILL  DATE  ....NOT  MATERIALIZED.VERY  POOR  SERVICE.A. KAMESHWAR  RAO25th  November  2020. 11.am
"
5509,"
Earphone is ok, but mic stopped working after few days and in contacting the support they ask to send the item via courier to Delhi. For 300 Rs item they are asking to spend another 300 for courier.
"
5510,"
Very bad product mic is not working .Pehle bhi humne earphone mangae the uska bhi mic kharab tha fir replace kraya iska mic bhi 8th day pe kharb ho gya warranty ka bhi pta nhi kb claim hogi kaisr hogi dont buy this product mene ache reviews padke isse mangaya tha aap sb soch rhe hoge ki itne ache reviews hai achi hi hogi mene bhi yhi socha tha but bhut bekar hai
"
5511,"
Do not buy this. I'm fed up with Boult quality. One side ear piece stopped working within the usage of 20 days. I can't even return.Note: Even if you raise a ticket with boult, you have to courier it to Boult HQ on your own expenses.
"
5512,"
I have never use Bould product earlier it was the first time i met with this Bould earphones i was nervous while buying how will it work and how many days will it work but through descriptions of the product and warranty card mentioned i proceed to buy this and today i'm very happy with my purchasing decision it's been a month or more i never met with any issue the way it was working after unboxing still it's the same.Sound Quality,Noise Cancellation and Bass Quality as mentioned in the description works beyond the words truely it's a fabulous product one should proceed to buy it in less price it's a very qualitative product.
"
5513,"
The earphones are little big in size. So they aren't comfortable in ear. Hence I returned. Amazon's service is awesome as always. They pickedup up the return, even in lockdown situation. The sound quality is awesome, bass and treble are well balanced. Great option under 500 rs.
"
5514,"
There are thousands of reviews for this product, but surprisingly there's hardly any review explaining its performance in long run and comparing this earphones with similar ones available in market.The reason for this is because u can't find any difference in SOUND QUALITY/BASS/SOUND CLEARITY between double/tripple time costing any other product.
"
5515,"
I just purchased another one today. It got delivered within 2 days thumb's up for that.The earphone is comparable to JBL endurance run, which I also ordered a new one.Go for it. It's budget friendly both of them.
"
5516,"
This product is awesome but when u plug in ear it's feels u like its heavy but bass & music is clear ... I retuned it ... U can buy from (renew) because it's cheap & although it's come from its Factory... No damage or anything it will give u... Better to buy from renew & Thanks me later
"
5517,"




                    The media could not be loaded.
                



 Earphones are really value for money...good quality, tangle free wire plus the buds hold the ear properly without any irritation and are durable too...👌👌
"
5518,"
I purchased this product as my little ones managed to break the earplugs of my old wireless bluetooth headphones. So in comparison obviously wireless headphones are much better. But considering if you need wired headphones, this is a good quality but I do feel stress in my ears if I put it on for hours as my job needs to be on phone all the time specially during work from home. Sound quality is between good to average. Not disappointing in terms of build quality.
"
5519,"
The bass quality is really good. The buds really occludes the ear to give a passive noise cancellation. For me, the ear gets pain only after a usage  of 3-4 hours. It's good at this price point. Microphone quality is fair as no one has complained about it but our voice tends to have lower pitch for the person on other side of the call. Also I am a rough user and has been using it for 3 months, no built quality issues have arised.
"
5520,"
I bought on 5 Dec, 2020 for Rs. 350. Good product but 'Hi' range (treble) is more than normal. If sound level is more than 60% then high frequency sound produced by this earphone will annoy you. May be I got a defective piece
"
5521,"
I have used it around 35 days and then write a review.1.  headphone does not work in calling time .2. sometimes head phone does not work when I listening music then headphone reconnect to listen. Bal er Headphone
"
5522,"
I have purchased as many as 5 for me n my friends... Very nice product..Super n clear voice quality.... Effective Noise cancellation, good length coverage...Last but not the least... Excellent battery backup.
"
5523,"
Getting both style and quality at this price is the best thing about this product. The audio quality is fairly good for this price. Bass is normal, which is in a way a good thing. Very durable. Unlike other products, there has been no damage due to tangling in pockets. Looks really cool on you. Noise cancellation is again an edge with this product. If you are looking for a decent music experience, then go for this product without thinking twice.
"
5524,"
I have received my boult audio earphones today and he is my reviewPros-1.frst of all I should tell about the sound quality..it's simply superb2.bass I think this is the best bass I have evered heard3.noise cancellation is also good..it eliminates all type of noises and gives a fantastic experience.4.its design..it fits exactly in my ear without any disturbanceCons- Till now I don't have any cons in my earphones..I hope it will not be there in the future too..Over all the earphones are simply superb and worth buying and I can rate 👌 5/5 for this earphones
"
5525,"
Boult products are manufactured with inferior quality and failed prematurely within warranty period. Boult never responded to customers complaint. I recommend Never buy Boult audio products. Further I request Amazon to discard the Boult products from Amazon platform in order to avoid derating of Amazon image.
"
5526,"




                    The media could not be loaded.
                



 Just loved this pairs.....I got it in 2days in rs369 only....build quality is robust..looks like premium earphones...bass is quiet good but I love surround sound..metal ear caps....10mm high fidelity speakers....treble is well balanced and bass is on higher side....go for it with close eyes
"
5527,"
As per the price point it's great in sound also with good a battery life . Go for it. Thanks
"
5528,"
What a gem of a product this is !!! Honesty speaking this is the best budget friendly earphones I have ever used. Trust me guys have used a tones of earphones, but this one lasted too long about 8-9 months. Highly recommended!!!Design-5*Durability-5*Bass-5*Sound quality-5*3D Acoustics-4*Tangling- NoMic-YesWarranty-Yes 1 yearExtra 2 pairs of earbud available in the box and No L shaped connector still it's a good one.
"
5529,"
Hy guys!.... Bought this on 5th oct..... And writing review on 22nd oct....... Now first of alll........ The bass is superb .... It's sooo gud that u will not hear the voice of the singer... Second........ When the voice of singer is not audible u just want to throw the earphone away...... And again.... Use it for an hour and feel the pain in ur ears...... Hve a great pair of them which m not using
"
5530,"
I had bought this earphone, by seeing its reviews. But now, I think, I shouldn't have bought it. Right part is not working at all, I need to press those wires, inorder to listen. And because of this disturbance, my ears are paining. Left part is fine, but right part is not hearable at all.
"
5531,"
awesome product .  I am telling this with my full detaled observation .see i also use many costly product than this but they all fails in front of this .the best part was that it  stick to the ears and never falls and also it gives the supreme bass quality with beautyful audio. just  great product bolt audio. just go for it right now
"
5532,"
Mic quality and distance.All was well until on a conference call, I wa told my Mic is muffled.. unbelievable but true... Mic is not good, too far from mouth.. so buy for listening only
"
5533,"
This product has stopped working efficiently within one month of purchase, it has proved that Chinese Manufactured Goods are useless & a waste of money. The Bass quality, fit etc are decent but it’s of no use if the there is static disturbance & sound issues. I’m going to raise a refund request with Amazon I’m hoping they honour this request being a Prime Member & a Loyal Customer
"
5534,"
It’s a flimsy make. As soon as you wear them and whenever you move the sound of cables keep coming in. The so called noise cancellation is absurd.I looked for a replacement to my old iPhone’s original earphones but this is hardly 1% quality of that.
"
5535,"
Man who r writing these positve reviews, maybe they haven't heard good buds ... As per this price range this is just fine but not the best .My review is on pure basis of the price range it offersI would say noise cancellation is decent ... But not best , bass is grt , but the whole experience you wil say something is missing man is it more bass noise issue or the fact noise kahi distort to nahi ho rhi.
"
